Model Version,Description,Parameters,elpd_diff,se_diff,|diff| / se
1. simplest,all fixed apart from annual runs in a multi-level group,"runs_mu, runs_sigma, run[year] ",,,
2. annual timing,"to #1, add annual timing as a group","timings_mu, timings_sigma, timing[year] ",,,
3. annual spread,"to #1, add annual spread as a group","spreads_mu, spreads_sigma, spread[year] ",,,
4. annual timing and spread,#2 plus #3,,,,
5. annual residence,"to #4, add annual residence as a group",,,,
6. add exit_spread,"to #4, annual exit_spread as a group",,,,
"model 3: spread differs between arrival and death, and varies by year. residence is equal across years.",,,0.0,0.0,0.0
"model 4: spread differs between arrival and death, and varies by year. residence varies by year.",,,-3.9,1.4,2.79
"model 2: spread differs between arrival and death, but is the same across years. residence is equal across years.",,,-53.5,18.9,2.83
model 1: equal spread on arrival and death. residence is equal across years.,,,-56.4,19.3,2.92
